ad_owner,city,description,floor,municipality,price,publish_date,room_num,sqr_m,street,suburb,title,url_link
Agencija,Beograd,"Izdajemo lep 3.0 na odličnoj lokaciji. Strukturu stana čine prostran dnevni boravak sa kuhinjom, dve spavaće sobe, kupatilo, toalet i zastakljena...",I/4,Opština Vračar,1500.0,2023-04-12,3.0,91.0,Koče Kapetana,Hram svetog Save,3.0 stan Vračar ID#3003,https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-stan-vracar-id3003/5425642950846?kid=4
Agencija,Beograd,Bw Terra Pogled na reku Ag. provizija 50% ( za zakup u trajanju do 24 meseca) ID 7754,VI/19,Opština Savski venac,2500.0,2023-04-12,4.0,110.0,Terra,Beograd na vodi,"BW Terra, pogled na reku Lux 4.0 , garaža ID 7754",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-terra-pogled-na-reku-lux-4-0-garaza-id-775/5425642844672?kid=4
Agencija,Beograd,"Potpuno nov, Lux stan u poslovno- stambenom kompleksu "" The One"", u neposrednoj blizini Airport City-ja, A bloka i West-a. Stan je kompletno...",III/8,Opština Novi Beograd,1200.0,2023-04-12,2.0,60.0,The One -Omladinskih brigada,Blok 67a (A blok),"The One, veći 2.0, Lux, garaža, ID 8174",https://www.halooglasi.com/nekretnine/izdavanje-stanova/the-one-veci-2-0-lux-garaza-id-8174/5425642756197?kid=4
Agencija,Beograd,"West 65,lep dvosoban stan 54m2+velika terasa,II sprat,udaljen od buke,grejanje po potrosnji,centralna klima,garaza uz doplatu ag provizija 50 % ID...",II/7,Opština Novi Beograd,1000.0,2023-04-12,2.0,62.0,Omladinskih brigada ,Blok 65,"West 65, Lux 2.0, garaža, ID 5891",https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-lux-2-0-garaza-id-5891/5425642838829?kid=4
Agencija,Beograd,"Tošin bunar, Nova gradnja kod restorana ""Bela reka"" Ag. provizija 50 % ID 8231",I/7,Opština Novi Beograd,1000.0,2023-04-12,3.0,80.0,New Minel Tošin Bunar,Tošin bunar,"New Minel, 3.0 Nov stan, garaža, useljiv ID 8231",https://www.halooglasi.com/nekretnine/izdavanje-stanova/new-minel-3-0-nov-stan-garaza-useljiv-id-8231/5425642905883?kid=4
Agencija,Beograd,"Only for resedent. Blok 72, Dr Ivana ribara, renoviran 2.0 stan preko puta novog Lidl-a, sa novijim namestajem, bracnim krevetom u spavacoj,...",IV/5,Opština Novi Beograd,450.0,2023-04-12,2.0,54.0,DR Ivana Ribara,Blok 61,"Dr Ivana Ribara 2.0, odmah useljiv ID 4959",https://www.halooglasi.com/nekretnine/izdavanje-stanova/dr-ivana-ribara-2-0-odmah-useljiv-id-4959/5425642716141?kid=4
Agencija,Beograd,"Potpuno nov, Lux stan u poslovno- stambenom kompleksu "" The One"", u neposrednoj blizini Airport City-ja, A bloka i West-a. Stan je kompletno...",V/6,Opština Novi Beograd,2000.0,2023-04-12,4.0,92.0,The One -Omladinskih brigada,Blok 67a (A blok),"Novo-The One, 4.0 Lux, garaža, useljiv ID 6490",https://www.halooglasi.com/nekretnine/izdavanje-stanova/novo-the-one-4-0-lux-garaza-useljiv-id-6490/5425642856568?kid=4
Agencija,Beograd,"Bulevar Kralja Aleksandra Odlican dvostran stan na prelepoj lokaciji. Sastoji se od prostrane dnevne sobe sa trpezarijom i kuhinjom, dva kupatila,...",VI/9,Opština Zvezdara,800.0,2023-04-12,3.0,93.0,Bulevar Kralja Aleksandra,Bulevar kralja Aleksandra,"Bulevar, odlican 3.0 stan, odmah useljiv ID 8222",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bulevar-odlican-3-0-stan-odmah-useljiv-id-822/5425642884067?kid=4
Agencija,Beograd," BW Aria, Nov dvosoban stan, opremljen kompletno (mini kućni aparati, mašina za pranje i sušenje...) Odmah useljiv, pripadajuće parking mesto i...",VIII/21,Opština Savski venac,1300.0,2023-04-12,2.0,55.0,Aria,Beograd na vodi,"BW Aria- Lux stan, garaža, useljiv ID 7336",https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-aria--lux-stan-garaza-useljiv-id-7336/5425642930716?kid=4
Agencija,Beograd,"Dvosoban stan u novogradnji preko puta bloka 45, IV sprat od VII, kompletno opremljen MODERNIM namestajem, internet, klima,l odja, slobodan parking,...",IV/6,Opština Novi Beograd,600.0,2023-04-12,1.5,50.0,Jurija Gagarina,Blok 61,"Novogradnja, 2.0 stan, useljiv ID 6389",https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-2-0-stan-useljiv-id-6389/5425636294754?kid=4
Agencija,Beograd,"Luksuzan stan u kvalitetnom poslovno-stambenom kompleksu Savada 3. Veoma funkcionalan, kompletno opremljen novim vrlo kvalitetnim nameštajem i...",II,Opština Novi Beograd,1150.0,2023-04-11,3.0,81.0,Tošin bunar,Blok 65,"Savada 3, lux, novogradnja, garaža, ID 19783",https://www.halooglasi.com/nekretnine/izdavanje-stanova/savada-3-lux-novogradnja-garaza-id-19783/5425642967700?kid=4
Agencija,Beograd,"Blok 29, polunamešten stan u novijoj zgradi kod Arene. II sprat, moze i za poslovni prostor. Moguća korekcija cene i dodatnog zakupa garažnog mesta....",II/6,Opština Novi Beograd,1000.0,2023-04-12,3.0,94.0,Bulevar Arsenija Čarnojevića,Arena,"Arena , polunamešten 3.0, II sprat  ID 8235",https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-polunamesten-3-0-ii-sprat-id-8235/5425642935362?kid=4
